_id,Schedule,CollectionDate,Organics,Garbage,Recycling,YardWaste,ChristmasTree
1,Tuesday1,2024-01-02,T,T,0,0,T
2,Tuesday1,2024-01-09,T,0,T,0,0
3,Tuesday1,2024-01-16,T,T,0,0,T
4,Tuesday1,2024-01-23,T,0,T,0,0
5,Tuesday1,2024-01-30,T,T,0,0,0
6,Tuesday1,2024-02-06,T,0,T,0,0
7,Tuesday1,2024-02-13,T,T,0,0,0
8,Tuesday1,2024-02-20,T,0,T,0,0
9,Tuesday1,2024-02-27,T,T,0,0,0
10,Tuesday1,2024-03-05,T,0,T,0,0
11,Tuesday1,2024-03-12,T,T,0,T,0
12,Tuesday1,2024-03-19,T,0,T,0,0
13,Tuesday1,2024-03-26,T,T,0,T,0
14,Tuesday1,2024-04-02,T,0,T,0,0
15,Tuesday1,2024-04-09,T,T,0,T,0
16,Tuesday1,2024-04-16,T,0,T,0,0
17,Tuesday1,2024-04-23,T,T,0,T,0
18,Tuesday1,2024-04-30,T,0,T,0,0
19,Tuesday1,2024-05-07,T,T,0,T,0
20,Tuesday1,2024-05-14,T,0,T,0,0
21,Tuesday1,2024-05-21,T,T,0,T,0
22,Tuesday1,2024-05-28,T,0,T,0,0
23,Tuesday1,2024-06-04,T,T,0,T,0
24,Tuesday1,2024-06-11,T,0,T,0,0
25,Tuesday1,2024-06-18,T,T,0,T,0
26,Tuesday1,2024-06-25,T,0,T,0,0
27,Tuesday1,2024-07-02,T,T,0,T,0
28,Tuesday1,2024-07-09,T,0,T,0,0
29,Tuesday1,2024-07-16,T,T,0,T,0
30,Tuesday1,2024-07-23,T,0,T,0,0
31,Tuesday1,2024-07-30,T,T,0,T,0
32,Tuesday1,2024-08-06,T,0,T,0,0
33,Tuesday1,2024-08-13,T,T,0,T,0
34,Tuesday1,2024-08-20,T,0,T,0,0
35,Tuesday1,2024-08-27,T,T,0,T,0
36,Tuesday1,2024-09-03,T,0,T,0,0
37,Tuesday1,2024-09-10,T,T,0,T,0
38,Tuesday1,2024-09-17,T,0,T,0,0
39,Tuesday1,2024-09-24,T,T,0,T,0
40,Tuesday1,2024-10-01,T,0,T,0,0
41,Tuesday1,2024-10-08,T,T,0,T,0
42,Tuesday1,2024-10-15,T,0,T,0,0
43,Tuesday1,2024-10-22,T,T,0,T,0
44,Tuesday1,2024-10-29,T,0,T,0,0
45,Tuesday1,2024-11-05,T,T,0,T,0
46,Tuesday1,2024-11-12,T,0,T,0,0
47,Tuesday1,2024-11-19,T,T,0,T,0
48,Tuesday1,2024-11-26,T,0,T,0,0
49,Tuesday1,2024-12-03,T,T,0,T,0
50,Tuesday1,2024-12-10,T,0,T,0,0
51,Tuesday1,2024-12-17,T,T,0,0,0
52,Tuesday1,2024-12-24,T,0,T,0,0
53,Tuesday1,2024-12-31,T,T,0,0,0
54,Tuesday2,2024-01-02,T,0,T,0,0
55,Tuesday2,2024-01-09,T,T,0,0,T
56,Tuesday2,2024-01-16,T,0,T,0,0
57,Tuesday2,2024-01-23,T,T,0,0,T
58,Tuesday2,2024-01-30,T,0,T,0,0
59,Tuesday2,2024-02-06,T,T,0,0,0
60,Tuesday2,2024-02-13,T,0,T,0,0
61,Tuesday2,2024-02-20,T,T,0,0,0
62,Tuesday2,2024-02-27,T,0,T,0,0
63,Tuesday2,2024-03-05,T,T,0,0,0
64,Tuesday2,2024-03-12,T,0,T,0,0
65,Tuesday2,2024-03-19,T,T,0,T,0
66,Tuesday2,2024-03-26,T,0,T,0,0
67,Tuesday2,2024-04-02,T,T,0,T,0
68,Tuesday2,2024-04-09,T,0,T,0,0
69,Tuesday2,2024-04-16,T,T,0,T,0
70,Tuesday2,2024-04-23,T,0,T,0,0
71,Tuesday2,2024-04-30,T,T,0,T,0
72,Tuesday2,2024-05-07,T,0,T,0,0
73,Tuesday2,2024-05-14,T,T,0,T,0
74,Tuesday2,2024-05-21,T,0,T,0,0
75,Tuesday2,2024-05-28,T,T,0,T,0
76,Tuesday2,2024-06-04,T,0,T,0,0
77,Tuesday2,2024-06-11,T,T,0,T,0
78,Tuesday2,2024-06-18,T,0,T,0,0
79,Tuesday2,2024-06-25,T,T,0,T,0
80,Tuesday2,2024-07-02,T,0,T,0,0
81,Tuesday2,2024-07-09,T,T,0,T,0
82,Tuesday2,2024-07-16,T,0,T,0,0
83,Tuesday2,2024-07-23,T,T,0,T,0
84,Tuesday2,2024-07-30,T,0,T,0,0
85,Tuesday2,2024-08-06,T,T,0,T,0
86,Tuesday2,2024-08-13,T,0,T,0,0
87,Tuesday2,2024-08-20,T,T,0,T,0
88,Tuesday2,2024-08-27,T,0,T,0,0
89,Tuesday2,2024-09-03,T,T,0,T,0
90,Tuesday2,2024-09-10,T,0,T,0,0
91,Tuesday2,2024-09-17,T,T,0,T,0
92,Tuesday2,2024-09-24,T,0,T,0,0
93,Tuesday2,2024-10-01,T,T,0,T,0
94,Tuesday2,2024-10-08,T,0,T,0,0
95,Tuesday2,2024-10-15,T,T,0,T,0
96,Tuesday2,2024-10-22,T,0,T,0,0
97,Tuesday2,2024-10-29,T,T,0,T,0
98,Tuesday2,2024-11-05,T,0,T,0,0
99,Tuesday2,2024-11-12,T,T,0,T,0
100,Tuesday2,2024-11-19,T,0,T,0,0
101,Tuesday2,2024-11-26,T,T,0,T,0
102,Tuesday2,2024-12-03,T,0,T,0,0
103,Tuesday2,2024-12-10,T,T,0,T,0
104,Tuesday2,2024-12-17,T,0,T,0,0
105,Tuesday2,2024-12-24,T,T,0,0,0
106,Tuesday2,2024-12-31,T,0,T,0,0
107,Wednesday1,2024-01-03,W,W,0,0,W
108,Wednesday1,2024-01-10,W,0,W,0,0
109,Wednesday1,2024-01-17,W,W,0,0,W
110,Wednesday1,2024-01-24,W,0,W,0,0
111,Wednesday1,2024-01-31,W,W,0,0,0
112,Wednesday1,2024-02-07,W,0,W,0,0
113,Wednesday1,2024-02-14,W,W,0,0,0
114,Wednesday1,2024-02-21,W,0,W,0,0
115,Wednesday1,2024-02-28,W,W,0,0,0
116,Wednesday1,2024-03-06,W,0,W,0,0
117,Wednesday1,2024-03-13,W,W,0,W,0
118,Wednesday1,2024-03-20,W,0,W,0,0
119,Wednesday1,2024-03-27,W,W,0,W,0
120,Wednesday1,2024-04-03,W,0,W,0,0
121,Wednesday1,2024-04-10,W,W,0,W,0
122,Wednesday1,2024-04-17,W,0,W,0,0
123,Wednesday1,2024-04-24,W,W,0,W,0
124,Wednesday1,2024-05-01,W,0,W,0,0
125,Wednesday1,2024-05-08,W,W,0,W,0
126,Wednesday1,2024-05-15,W,0,W,0,0
127,Wednesday1,2024-05-22,W,W,0,W,0
128,Wednesday1,2024-05-29,W,0,W,0,0
129,Wednesday1,2024-06-05,W,W,0,W,0
130,Wednesday1,2024-06-12,W,0,W,0,0
131,Wednesday1,2024-06-19,W,W,0,W,0
132,Wednesday1,2024-06-26,W,0,W,0,0
133,Wednesday1,2024-07-03,W,W,0,W,0
134,Wednesday1,2024-07-10,W,0,W,0,0
135,Wednesday1,2024-07-17,W,W,0,W,0
136,Wednesday1,2024-07-24,W,0,W,0,0
137,Wednesday1,2024-07-31,W,W,0,W,0
138,Wednesday1,2024-08-07,W,0,W,0,0
139,Wednesday1,2024-08-14,W,W,0,W,0
140,Wednesday1,2024-08-21,W,0,W,0,0
141,Wednesday1,2024-08-28,W,W,0,W,0
142,Wednesday1,2024-09-04,W,0,W,0,0
143,Wednesday1,2024-09-11,W,W,0,W,0
144,Wednesday1,2024-09-18,W,0,W,0,0
145,Wednesday1,2024-09-25,W,W,0,W,0
146,Wednesday1,2024-10-02,W,0,W,0,0
147,Wednesday1,2024-10-09,W,W,0,W,0
148,Wednesday1,2024-10-16,W,0,W,0,0
149,Wednesday1,2024-10-23,W,W,0,W,0
150,Wednesday1,2024-10-30,W,0,W,0,0
151,Wednesday1,2024-11-06,W,W,0,W,0
152,Wednesday1,2024-11-13,W,0,W,0,0
153,Wednesday1,2024-11-20,W,W,0,W,0
154,Wednesday1,2024-11-27,W,0,W,0,0
155,Wednesday1,2024-12-04,W,W,0,W,0
156,Wednesday1,2024-12-11,W,0,W,0,0
157,Wednesday1,2024-12-18,W,W,0,0,0
158,Wednesday1,2024-12-26,W,0,W,0,0
159,Wednesday2,2024-01-03,W,0,W,0,0
160,Wednesday2,2024-01-10,W,W,0,0,W
161,Wednesday2,2024-01-17,W,0,W,0,0
162,Wednesday2,2024-01-24,W,W,0,0,W
163,Wednesday2,2024-01-31,W,0,W,0,0
164,Wednesday2,2024-02-07,W,W,0,0,0
165,Wednesday2,2024-02-14,W,0,W,0,0
166,Wednesday2,2024-02-21,W,W,0,0,0
167,Wednesday2,2024-02-28,W,0,W,0,0
168,Wednesday2,2024-03-06,W,W,0,0,0
169,Wednesday2,2024-03-13,W,0,W,0,0
170,Wednesday2,2024-03-20,W,W,0,W,0
171,Wednesday2,2024-03-27,W,0,W,0,0
172,Wednesday2,2024-04-03,W,W,0,W,0
173,Wednesday2,2024-04-10,W,0,W,0,0
174,Wednesday2,2024-04-17,W,W,0,W,0
175,Wednesday2,2024-04-24,W,0,W,0,0
176,Wednesday2,2024-05-01,W,W,0,W,0
177,Wednesday2,2024-05-08,W,0,W,0,0
178,Wednesday2,2024-05-15,W,W,0,W,0
179,Wednesday2,2024-05-22,W,0,W,0,0
180,Wednesday2,2024-05-29,W,W,0,W,0
181,Wednesday2,2024-06-05,W,0,W,0,0
182,Wednesday2,2024-06-12,W,W,0,W,0
183,Wednesday2,2024-06-19,W,0,W,0,0
184,Wednesday2,2024-06-26,W,W,0,W,0
185,Wednesday2,2024-07-03,W,0,W,0,0
186,Wednesday2,2024-07-10,W,W,0,W,0
187,Wednesday2,2024-07-17,W,0,W,0,0
188,Wednesday2,2024-07-24,W,W,0,W,0
189,Wednesday2,2024-07-31,W,0,W,0,0
190,Wednesday2,2024-08-07,W,W,0,W,0
191,Wednesday2,2024-08-14,W,0,W,0,0
192,Wednesday2,2024-08-21,W,W,0,W,0
193,Wednesday2,2024-08-28,W,0,W,0,0
194,Wednesday2,2024-09-04,W,W,0,W,0
195,Wednesday2,2024-09-11,W,0,W,0,0
196,Wednesday2,2024-09-18,W,W,0,W,0
197,Wednesday2,2024-09-25,W,0,W,0,0
198,Wednesday2,2024-10-02,W,W,0,W,0
199,Wednesday2,2024-10-09,W,0,W,0,0
200,Wednesday2,2024-10-16,W,W,0,W,0
201,Wednesday2,2024-10-23,W,0,W,0,0
202,Wednesday2,2024-10-30,W,W,0,W,0
203,Wednesday2,2024-11-06,W,0,W,0,0
204,Wednesday2,2024-11-13,W,W,0,W,0
205,Wednesday2,2024-11-20,W,0,W,0,0
206,Wednesday2,2024-11-27,W,W,0,W,0
207,Wednesday2,2024-12-04,W,0,W,0,0
208,Wednesday2,2024-12-11,W,W,0,W,0
209,Wednesday2,2024-12-18,W,0,W,0,0
210,Wednesday2,2024-12-26,W,W,0,0,0
211,Thursday1,2024-01-04,R,R,0,0,R
212,Thursday1,2024-01-11,R,0,R,0,0
213,Thursday1,2024-01-18,R,R,0,0,R
214,Thursday1,2024-01-25,R,0,R,0,0
215,Thursday1,2024-02-01,R,R,0,0,0
216,Thursday1,2024-02-08,R,0,R,0,0
217,Thursday1,2024-02-15,R,R,0,0,0
218,Thursday1,2024-02-22,R,0,R,0,0
219,Thursday1,2024-02-29,R,R,0,0,0
220,Thursday1,2024-03-07,R,0,R,0,0
221,Thursday1,2024-03-14,R,R,0,R,0
222,Thursday1,2024-03-21,R,0,R,0,0
223,Thursday1,2024-03-28,R,R,0,R,0
224,Thursday1,2024-04-04,R,0,R,0,0
225,Thursday1,2024-04-11,R,R,0,R,0
226,Thursday1,2024-04-18,R,0,R,0,0
227,Thursday1,2024-04-25,R,R,0,R,0
228,Thursday1,2024-05-02,R,0,R,0,0
229,Thursday1,2024-05-09,R,R,0,R,0
230,Thursday1,2024-05-16,R,0,R,0,0
231,Thursday1,2024-05-23,R,R,0,R,0
232,Thursday1,2024-05-30,R,0,R,0,0
233,Thursday1,2024-06-06,R,R,0,R,0
234,Thursday1,2024-06-13,R,0,R,0,0
235,Thursday1,2024-06-20,R,R,0,R,0
236,Thursday1,2024-06-27,R,0,R,0,0
237,Thursday1,2024-07-04,R,R,0,R,0
238,Thursday1,2024-07-11,R,0,R,0,0
239,Thursday1,2024-07-18,R,R,0,R,0
240,Thursday1,2024-07-25,R,0,R,0,0
241,Thursday1,2024-08-01,R,R,0,R,0
242,Thursday1,2024-08-08,R,0,R,0,0
243,Thursday1,2024-08-15,R,R,0,R,0
244,Thursday1,2024-08-22,R,0,R,0,0
245,Thursday1,2024-08-29,R,R,0,R,0
246,Thursday1,2024-09-05,R,0,R,0,0
247,Thursday1,2024-09-12,R,R,0,R,0
248,Thursday1,2024-09-19,R,0,R,0,0
249,Thursday1,2024-09-26,R,R,0,R,0
250,Thursday1,2024-10-03,R,0,R,0,0
251,Thursday1,2024-10-10,R,R,0,R,0
252,Thursday1,2024-10-17,R,0,R,0,0
253,Thursday1,2024-10-24,R,R,0,R,0
254,Thursday1,2024-10-31,R,0,R,0,0
255,Thursday1,2024-11-07,R,R,0,R,0
256,Thursday1,2024-11-14,R,0,R,0,0
257,Thursday1,2024-11-21,R,R,0,R,0
258,Thursday1,2024-11-28,R,0,R,0,0
259,Thursday1,2024-12-05,R,R,0,R,0
260,Thursday1,2024-12-12,R,0,R,0,0
261,Thursday1,2024-12-19,R,R,0,0,0
262,Thursday1,2024-12-26,R,0,R,0,0
263,Thursday2,2024-01-04,R,0,R,0,0
264,Thursday2,2024-01-11,R,R,0,0,R
265,Thursday2,2024-01-18,R,0,R,0,0
266,Thursday2,2024-01-25,R,R,0,0,R
267,Thursday2,2024-02-01,R,0,R,0,0
268,Thursday2,2024-02-08,R,R,0,0,0
269,Thursday2,2024-02-15,R,0,R,0,0
270,Thursday2,2024-02-22,R,R,0,0,0
271,Thursday2,2024-02-29,R,0,R,0,0
272,Thursday2,2024-03-07,R,R,0,0,0
273,Thursday2,2024-03-14,R,0,R,0,0
274,Thursday2,2024-03-21,R,R,0,R,0
275,Thursday2,2024-03-28,R,0,R,0,0
276,Thursday2,2024-04-04,R,R,0,R,0
277,Thursday2,2024-04-11,R,0,R,0,0
278,Thursday2,2024-04-18,R,R,0,R,0
279,Thursday2,2024-04-25,R,0,R,0,0
280,Thursday2,2024-05-02,R,R,0,R,0
281,Thursday2,2024-05-09,R,0,R,0,0
282,Thursday2,2024-05-16,R,R,0,R,0
283,Thursday2,2024-05-23,R,0,R,0,0
284,Thursday2,2024-05-30,R,R,0,R,0
285,Thursday2,2024-06-06,R,0,R,0,0
286,Thursday2,2024-06-13,R,R,0,R,0
287,Thursday2,2024-06-20,R,0,R,0,0
288,Thursday2,2024-06-27,R,R,0,R,0
289,Thursday2,2024-07-04,R,0,R,0,0
290,Thursday2,2024-07-11,R,R,0,R,0
291,Thursday2,2024-07-18,R,0,R,0,0
292,Thursday2,2024-07-25,R,R,0,R,0
293,Thursday2,2024-08-01,R,0,R,0,0
294,Thursday2,2024-08-08,R,R,0,R,0
295,Thursday2,2024-08-15,R,0,R,0,0
296,Thursday2,2024-08-22,R,R,0,R,0
297,Thursday2,2024-08-29,R,0,R,0,0
298,Thursday2,2024-09-05,R,R,0,R,0
299,Thursday2,2024-09-12,R,0,R,0,0
300,Thursday2,2024-09-19,R,R,0,R,0
301,Thursday2,2024-09-26,R,0,R,0,0
302,Thursday2,2024-10-03,R,R,0,R,0
303,Thursday2,2024-10-10,R,0,R,0,0
304,Thursday2,2024-10-17,R,R,0,R,0
305,Thursday2,2024-10-24,R,0,R,0,0
306,Thursday2,2024-10-31,R,R,0,R,0
307,Thursday2,2024-11-07,R,0,R,0,0
308,Thursday2,2024-11-14,R,R,0,R,0
309,Thursday2,2024-11-21,R,0,R,0,0
310,Thursday2,2024-11-28,R,R,0,R,0
311,Thursday2,2024-12-05,R,0,R,0,0
312,Thursday2,2024-12-12,R,R,0,R,0
313,Thursday2,2024-12-19,R,0,R,0,0
314,Thursday2,2024-12-26,R,R,0,0,0
315,Friday1,2024-01-05,F,F,0,0,F
316,Friday1,2024-01-12,F,0,F,0,0
317,Friday1,2024-01-19,F,F,0,0,F
318,Friday1,2024-01-26,F,0,F,0,0
319,Friday1,2024-02-02,F,F,0,0,0
320,Friday1,2024-02-09,F,0,F,0,0
321,Friday1,2024-02-16,F,F,0,0,0
322,Friday1,2024-02-23,F,0,F,0,0
323,Friday1,2024-03-01,F,F,0,0,0
324,Friday1,2024-03-08,F,0,F,0,0
325,Friday1,2024-03-15,F,F,0,F,0
326,Friday1,2024-03-22,F,0,F,0,0
327,Friday1,2024-03-29,F,F,0,F,0
328,Friday1,2024-04-05,F,0,F,0,0
329,Friday1,2024-04-12,F,F,0,F,0
330,Friday1,2024-04-19,F,0,F,0,0
331,Friday1,2024-04-26,F,F,0,F,0
332,Friday1,2024-05-03,F,0,F,0,0
333,Friday1,2024-05-10,F,F,0,F,0
334,Friday1,2024-05-17,F,0,F,0,0
335,Friday1,2024-05-24,F,F,0,F,0
336,Friday1,2024-05-31,F,0,F,0,0
337,Friday1,2024-06-07,F,F,0,F,0
338,Friday1,2024-06-14,F,0,F,0,0
339,Friday1,2024-06-21,F,F,0,F,0
340,Friday1,2024-06-28,F,0,F,0,0
341,Friday1,2024-07-05,F,F,0,F,0
342,Friday1,2024-07-12,F,0,F,0,0
343,Friday1,2024-07-19,F,F,0,F,0
344,Friday1,2024-07-26,F,0,F,0,0
345,Friday1,2024-08-02,F,F,0,F,0
346,Friday1,2024-08-09,F,0,F,0,0
347,Friday1,2024-08-16,F,F,0,F,0
348,Friday1,2024-08-23,F,0,F,0,0
349,Friday1,2024-08-30,F,F,0,F,0
350,Friday1,2024-09-06,F,0,F,0,0
351,Friday1,2024-09-13,F,F,0,F,0
352,Friday1,2024-09-20,F,0,F,0,0
353,Friday1,2024-09-27,F,F,0,F,0
354,Friday1,2024-10-04,F,0,F,0,0
355,Friday1,2024-10-11,F,F,0,F,0
356,Friday1,2024-10-18,F,0,F,0,0
357,Friday1,2024-10-25,F,F,0,F,0
358,Friday1,2024-11-01,F,0,F,0,0
359,Friday1,2024-11-08,F,F,0,F,0
360,Friday1,2024-11-15,F,0,F,0,0
361,Friday1,2024-11-22,F,F,0,F,0
362,Friday1,2024-11-29,F,0,F,0,0
363,Friday1,2024-12-06,F,F,0,F,0
364,Friday1,2024-12-13,F,0,F,0,0
365,Friday1,2024-12-20,F,F,0,0,0
366,Friday1,2024-12-28,F,0,F,0,0
367,Friday2,2024-01-05,F,0,F,0,0
368,Friday2,2024-01-12,F,F,0,0,F
369,Friday2,2024-01-19,F,0,F,0,0
370,Friday2,2024-01-26,F,F,0,0,F
371,Friday2,2024-02-02,F,0,F,0,0
372,Friday2,2024-02-09,F,F,0,0,0
373,Friday2,2024-02-16,F,0,F,0,0
374,Friday2,2024-02-23,F,F,0,0,0
375,Friday2,2024-03-01,F,0,F,0,0
376,Friday2,2024-03-08,F,F,0,0,0
377,Friday2,2024-03-15,F,0,F,0,0
378,Friday2,2024-03-22,F,F,0,F,0
379,Friday2,2024-03-29,F,0,F,0,0
380,Friday2,2024-04-05,F,F,0,F,0
381,Friday2,2024-04-12,F,0,F,0,0
382,Friday2,2024-04-19,F,F,0,F,0
383,Friday2,2024-04-26,F,0,F,0,0
384,Friday2,2024-05-03,F,F,0,F,0
385,Friday2,2024-05-10,F,0,F,0,0
386,Friday2,2024-05-17,F,F,0,F,0
387,Friday2,2024-05-24,F,0,F,0,0
388,Friday2,2024-05-31,F,F,0,F,0
389,Friday2,2024-06-07,F,0,F,0,0
390,Friday2,2024-06-14,F,F,0,F,0
391,Friday2,2024-06-21,F,0,F,0,0
392,Friday2,2024-06-28,F,F,0,F,0
393,Friday2,2024-07-05,F,0,F,0,0
394,Friday2,2024-07-12,F,F,0,F,0
395,Friday2,2024-07-19,F,0,F,0,0
396,Friday2,2024-07-26,F,F,0,F,0
397,Friday2,2024-08-02,F,0,F,0,0
398,Friday2,2024-08-09,F,F,0,F,0
399,Friday2,2024-08-16,F,0,F,0,0
400,Friday2,2024-08-23,F,F,0,F,0
401,Friday2,2024-08-30,F,0,F,0,0
402,Friday2,2024-09-06,F,F,0,F,0
403,Friday2,2024-09-13,F,0,F,0,0
404,Friday2,2024-09-20,F,F,0,F,0
405,Friday2,2024-09-27,F,0,F,0,0
406,Friday2,2024-10-04,F,F,0,F,0
407,Friday2,2024-10-11,F,0,F,0,0
408,Friday2,2024-10-18,F,F,0,F,0
409,Friday2,2024-10-25,F,0,F,0,0
410,Friday2,2024-11-01,F,F,0,F,0
411,Friday2,2024-11-08,F,0,F,0,0
412,Friday2,2024-11-15,F,F,0,F,0
413,Friday2,2024-11-22,F,0,F,0,0
414,Friday2,2024-11-29,F,F,0,F,0
415,Friday2,2024-12-06,F,0,F,0,0
416,Friday2,2024-12-13,F,F,0,F,0
417,Friday2,2024-12-20,F,0,F,0,0
418,Friday2,2024-12-28,F,F,0,0,0
